step,processed,mean_exact,mean_est,std_est,mean_est_packed,std_est_packed
1,10000,7305.133333,7291.250433,61.891083,7291.250433,61.891083
2,20000,14545.166667,14525.644893,104.428010,14525.644893,104.428010
3,30000,21761.033333,21770.049326,160.246630,21770.049326,160.246630
4,40000,28958.333333,28964.336768,217.243698,28964.336768,217.243698
5,50000,36158.066667,36139.675459,398.622228,36139.675459,398.622228
6,60000,43315.000000,44107.834295,341.049742,44107.834295,341.049742
7,70000,50483.733333,50914.699440,383.067135,50914.699440,383.067135
8,80000,57649.900000,57861.114157,564.652356,57861.114157,564.652356
9,90000,64786.066667,64829.202964,595.688276,64829.202964,595.688276
10,100000,71913.133333,71908.021626,645.074237,71908.021626,645.074237
11,110000,79044.866667,78928.809517,799.526035,78928.809517,799.526035
12,120000,86162.966667,86036.309588,823.695204,86036.309588,823.695204
13,130000,93281.800000,93230.958219,885.832308,93230.958219,885.832308
14,140000,100377.100000,100325.970202,991.336370,100325.970202,991.336370
15,150000,107487.300000,107438.140978,1037.551518,107438.140978,1037.551518
16,160000,114578.933333,114449.551962,1244.187181,114449.551962,1244.187181
17,170000,121658.400000,121540.243657,1331.788479,121540.243657,1331.788479
18,180000,128744.000000,128613.979180,1297.155669,128613.979180,1297.155669
19,190000,135826.066667,135701.583968,1334.210334,135701.583968,1334.210334
20,200000,142907.200000,142798.098018,1364.748131,142798.098018,1364.748131
